"","country","peak","inc_dec","constant","code","region","income_gp","population","HCW","Dx_consortium"
"1","Afghanistan",42,28,299,"AFG","South Asia","LIC",38041754,42180.61884,"Yes"
"2","Albania",105,75,189,"ALB","Europe & Central Asia","UMIC",2854191,18323.87201,"Yes"
"3","Algeria",48,116,205,"DZA","Middle East & North Africa","LMIC",43053054,234086.2129,"Yes"
"4","Andorra",76,185,108,"AND","Europe & Central Asia","HIC",77142,731.1067593,""
"5","Angola",94,177,98,"AGO","Sub-Saharan Africa","LMIC",31825295,66809.58402,"Yes"
"6","Antigua & Barbuda",37,24,308,"ATG","Latin America & Caribbean","HIC",97118,670.8309114,"Yes"
"7","Argentina",91,214,64,"ARG","Latin America & Caribbean","UMIC",44938712,386248.5102,"Yes"
"8","Armenia",49,97,223,"ARM","Europe & Central Asia","UMIC",2957731,27916.72029,"Yes"
"9","Australia",16,33,320,"AUS","East Asia & Pacific","HIC",25364307,497546.4803,""
"10","Austria",35,142,192,"AUT","Europe & Central Asia","HIC",8877067,138979.1418,""
"11","Azerbaijan",48,65,256,"AZE","Europe & Central Asia","UMIC",10023318,115585.1082,"Yes"
"12","Bahamas",39,168,162,"BHS","Latin America & Caribbean","HIC",389482,2667.153077,"Yes"
"13","Bahrain",30,123,216,"BHR","Middle East & North Africa","HIC",1641172,7515.105063,""
"14","Bangladesh",35,50,284,"BGD","South Asia","LMIC",163046161,348250.1286,"Yes"
"15","Barbados",13,52,304,"BRB","Latin America & Caribbean","HIC",287025,3043.278235,"Yes"
"16","Belarus",210,94,65,"BLR","Europe & Central Asia","UMIC",9466856,159633.3848,"Yes"
"17","Belgium",20,51,298,"BEL","Europe & Central Asia","HIC",11484055,225191.5396,""
"18","Belize",13,28,328,"BLZ","Latin America & Caribbean","UMIC",390353,1722.070827,"Yes"
"19","Benin",16,60,293,"BEN","Sub-Saharan Africa","LMIC",11801151,15709.04058,"Yes"
"20","Bermuda",0,0,369,"BMU","North America","HIC",63918,0,""
"21","Bhutan",63,63,243,"BTN","South Asia","LMIC",763092,2024.884014,"Yes"
"22","Bolivia",90,184,95,"BOL","Latin America & Caribbean","LMIC",11513100,36948.47954,"Yes"
"23","Bosnia & Herzegovina",101,77,191,"BIH","Europe & Central Asia","UMIC",3301000,29837.76251,"Yes"
"24","Botswana",22,49,298,"BWA","Sub-Saharan Africa","UMIC",2303697,9881.96003,"Yes"
"25","Brazil",250,118,1,"BRA","Latin America & Caribbean","UMIC",211049527,3696873.292,"Yes"
"26","Brunei",7,25,337,"BRN","East Asia & Pacific","HIC",433285,5077.998506,""
"27","Bulgaria",96,75,198,"BGR","Europe & Central Asia","UMIC",6975761,76658.88884,"Yes"
"28","Burkina Faso",52,28,289,"BFA","Sub-Saharan Africa","LIC",20321378,17073.26326,"Yes"
"29","Burundi",11,74,284,"BDI","Sub-Saharan Africa","LIC",11530580,10264.28338,"Yes"
"30","Côte d’Ivoire",39,65,265,"CIV","Sub-Saharan Africa","LMIC",25716544,49357.68764,"Yes"
"31","Cambodia",93,25,251,"KHM","East Asia & Pacific","LMIC",16486542,30000.35679,"Yes"
"32","Cameroon",7,28,334,"CMR","Sub-Saharan Africa","LMIC",25876380,40356.20959,"Yes"
"33","Canada",137,113,119,"CAN","North America","HIC",37589262,579678.8438,""
"34","Cape Verde",48,151,170,"CPV","Sub-Saharan Africa","LMIC",549935,1213.266457,"Yes"
"35","Central African Republic",20,34,315,"CAF","Sub-Saharan Africa","LIC",4745185,3413.075924,"Yes"
"36","Chad",31,83,255,"TCD","Sub-Saharan Africa","LIC",15946876,7578.904741,"Yes"
"37","Chile",147,165,57,"CHL","Latin America & Caribbean","HIC",18952038,87000.41576,""
"38","China",51,65,253,"CHN","East Asia & Pacific","UMIC",1397715000,7522935.519,""
"39","Colombia",105,218,46,"COL","Latin America & Caribbean","UMIC",50339443,239858.108,"Yes"
"40","Comoros",20,29,320,"COM","Sub-Saharan Africa","LMIC",850886,1441.425218,"Yes"
"41","Congo - Brazzaville",33,120,216,"COG","Sub-Saharan Africa","LMIC",5380508,13166.85032,"Yes"
"42","Congo - Kinshasa",80,102,187,"COD","Sub-Saharan Africa","LIC",86790567,89980.52337,"Yes"
"43","Costa Rica",96,209,64,"CRI","Latin America & Caribbean","UMIC",5047561,13370.16462,"Yes"
"44","Croatia",79,75,215,"HRV","Europe & Central Asia","HIC",4067500,55797.52346,""
"45","Cuba",26,15,328,"CUB","Latin America & Caribbean","UMIC",11333483,218094.5423,"Yes"
"46","Cyprus",66,111,192,"CYP","Europe & Central Asia","HIC",1198575,11766.22994,""
"47","Czechia",133,68,168,"CZE","Europe & Central Asia","HIC",10669709,164390.8593,""
"48","Denmark",34,154,181,"DNK","Europe & Central Asia","HIC",5818553,107481.9491,""
"49","Djibouti",22,25,322,"DJI","Middle East & North Africa","LMIC",973560,1437.542387,"Yes"
"50","Dominica",35,118,216,"DMA","Latin America & Caribbean","UMIC",71808,621.3498476,"Yes"
"51","Dominican Republic",117,234,18,"DOM","Latin America & Caribbean","UMIC",10738958,30516.7196,"Yes"
"52","Ecuador",145,221,3,"ECU","Latin America & Caribbean","UMIC",17373662,91388.4317,"Yes"
"53","Egypt",110,117,142,"EGY","Middle East & North Africa","LMIC",100388073,612140.7613,"Yes"
"54","El Salvador",107,251,11,"SLV","Latin America & Caribbean","LMIC",6453553,40224.14442,"Yes"
"55","Equatorial Guinea",5,9,355,"GNQ","Sub-Saharan Africa","UMIC",1355986,2209.556893,"Yes"
"56","Eritrea",41,77,251,"ERI","Sub-Saharan Africa","LIC",3213972,299,"Yes"
"57","Estonia",43,128,198,"EST","Europe & Central Asia","HIC",1326590,17545.90792,""
"58","Eswatini",10,64,295,"SWZ","Sub-Saharan Africa","LMIC",1148130,6982.612358,"Yes"
"59","Ethiopia",76,179,114,"ETH","Sub-Saharan Africa","LIC",112078730,163337.0823,"Yes"
"60","Faroe Islands",0,0,369,"FRO","Europe & Central Asia","HIC",48678,19.69854271,""
"61","Fiji",27,12,330,"FJI","East Asia & Pacific","UMIC",889953,4227.550836,"Yes"
"62","Finland",102,170,97,"FIN","Europe & Central Asia","HIC",5520314,129493.8724,""
"63","France",33,164,172,"FRA","Europe & Central Asia","HIC",67059887,1156683.441,""
"64","French Polynesia",0,0,369,"PYF","East Asia & Pacific","HIC",279287,591.3586798,""
"65","Gabon",69,68,232,"GAB","Sub-Saharan Africa","UMIC",2172579,8027.257394,"Yes"
"66","Gambia",36,50,283,"GMB","Sub-Saharan Africa","LIC",2347706,7112.109497,"Yes"
"67","Georgia",58,107,204,"GEO","Europe & Central Asia","UMIC",3720382,38700.77779,"Yes"
"68","Germany",145,79,145,"DEU","Europe & Central Asia","HIC",83132799,1802683.552,""
"69","Ghana",52,60,257,"GHA","Sub-Saharan Africa","LMIC",30417856,63150.71007,"Yes"
"70","Greece",157,100,112,"GRC","Europe & Central Asia","HIC",10716322,127012.8101,""
"71","Greenland",0,0,369,"GRL","Europe & Central Asia","HIC",56225,0,""
"72","Grenada",10,14,345,"GRD","Latin America & Caribbean","UMIC",112003,740.3237383,"Yes"
"73","Guatemala",56,211,102,"GTM","Latin America & Caribbean","UMIC",16604026,31388.07253,"Yes"
"74","Guinea",60,151,158,"GIN","Sub-Saharan Africa","LIC",12771246,13550.38019,"Yes"
"75","Guinea-Bissau",30,67,272,"GNB","Sub-Saharan Africa","LIC",1920922,6652.227092,"Yes"
"76","Guyana",122,197,50,"GUY","Latin America & Caribbean","UMIC",782766,2151.990756,"Yes"
"77","Haiti",32,74,262,"HTI","Latin America & Caribbean","LIC",11263077,18106.241,"Yes"
"78","Honduras",140,220,9,"HND","Latin America & Caribbean","LMIC",9746117,21594.52119,"Yes"
"79","Hong Kong SAR China",0,0,369,"HKG","East Asia & Pacific","HIC",7507400,13099.02227,""
"80","Hungary",67,75,227,"HUN","Europe & Central Asia","HIC",9769949,120410.6254,""
"81","Iceland",35,31,303,"ISL","Europe & Central Asia","HIC",361313,8690.746078,""
"82","India",42,62,265,"IND","South Asia","LMIC",1366417754,6562671.873,"Yes"
"83","Indonesia",32,44,293,"IDN","East Asia & Pacific","UMIC",270625568,816205.2667,"Yes"
"84","Iran",61,180,128,"IRN","Middle East & North Africa","UMIC",82913906,397331.0304,"Yes"
"85","Iraq",64,218,87,"IRQ","Middle East & North Africa","UMIC",39309783,127673.5648,"Yes"
"86","Ireland",13,17,339,"IRL","Europe & Central Asia","HIC",4941444,103962.7984,""
"87","Israel",70,80,219,"ISR","Middle East & North Africa","HIC",9053300,109884.8004,""
"88","Italy",81,130,158,"ITA","Europe & Central Asia","HIC",60297396,803107.5301,""
"89","Jamaica",31,72,266,"JAM","Latin America & Caribbean","UMIC",2948279,9358.672269,"Yes"
"90","Japan",30,120,219,"JPN","East Asia & Pacific","HIC",126264931,2195175.752,""
"91","Jordan",70,80,219,"JOR","Middle East & North Africa","UMIC",10101694,91296.53581,"Yes"
"92","Kazakhstan",7,15,347,"KAZ","Europe & Central Asia","UMIC",18513930,251946.907,"Yes"
"93","Kenya",102,155,112,"KEN","Sub-Saharan Africa","LMIC",52573973,132056.5582,"Yes"
"94","Kiribati",0,0,368,"KIR","East Asia & Pacific","LMIC",117606,712.2894021,"Yes"
"95","Kosovo",46,120,203,"XKX","Europe & Central Asia","UMIC",1794248,746.2372337,"Yes"
"96","Kuwait",168,160,41,"KWT","Middle East & North Africa","HIC",4207083,48971.01558,""
"97","Kyrgyzstan",45,116,208,"KGZ","Europe & Central Asia","LMIC",6456900,59325.78099,"Yes"
"98","Laos",15,24,330,"LAO","East Asia & Pacific","LMIC",7169455,17243.67985,"Yes"
"99","Latvia",156,69,144,"LVA","Europe & Central Asia","HIC",1912789,19627.16023,""
"100","Lebanon",97,130,142,"LBN","Middle East & North Africa","UMIC",6855713,56580.56205,"Yes"
"101","Lesotho",7,42,320,"LSO","Sub-Saharan Africa","LMIC",2125268,2599.336982,"Yes"
"102","Liberia",15,21,333,"LBR","Sub-Saharan Africa","LIC",4937374,1763.617042,"Yes"
"103","Libya",25,185,159,"LBY","Middle East & North Africa","UMIC",6777452,74153.47021,"Yes"
"104","Liechtenstein",53,59,256,"LIE","Europe & Central Asia","HIC",38019,15.35899457,""
"105","Lithuania",56,115,198,"LTU","Europe & Central Asia","HIC",2786844,43278.50547,""
"106","Luxembourg",58,131,180,"LUX","Europe & Central Asia","HIC",619896,12336.71987,""
"107","Madagascar",22,58,289,"MDG","Sub-Saharan Africa","LIC",26969307,21234.44186,"Yes"
"108","Malawi",42,38,289,"MWI","Sub-Saharan Africa","LIC",18628747,20478.67997,"Yes"
"109","Malaysia",24,88,257,"MYS","East Asia & Pacific","UMIC",31949777,244031.8911,"Yes"
"110","Maldives",23,23,323,"MDV","South Asia","UMIC",530953,4240.203296,"Yes"
"111","Mali",14,89,266,"MLI","Sub-Saharan Africa","LIC",19658031,18067.09724,"Yes"
"112","Malta",67,132,170,"MLT","Middle East & North Africa","HIC",502653,7919.461726,""
"113","Mauritania",39,41,289,"MRT","Sub-Saharan Africa","LMIC",4525696,7760.950592,"Yes"
"114","Mauritius",10,12,347,"MUS","Sub-Saharan Africa","HIC",1265711,10506.93515,"Yes"
"115","Mexico",100,199,70,"MEX","Latin America & Caribbean","UMIC",127575529,824443.2355,"Yes"
"116","Moldova",113,154,102,"MDA","Europe & Central Asia","LMIC",2657637,32178.31528,"Yes"
"117","Monaco",75,92,201,"MCO","Europe & Central Asia","HIC",38964,1276.856584,""
"118","Mongolia",36,74,258,"MNG","East Asia & Pacific","LMIC",3225167,29252.38608,"Yes"
"119","Montenegro",159,85,125,"MNE","Europe & Central Asia","UMIC",622137,5731.74446,"Yes"
"120","Morocco",37,103,229,"MAR","Middle East & North Africa","LMIC",36471769,100023.1859,"Yes"
"121","Mozambique",32,66,271,"MOZ","Sub-Saharan Africa","LIC",30366036,21740.40056,"Yes"
"122","Myanmar (Burma)",29,62,278,"MMR","East Asia & Pacific","LMIC",54045420,149457.4565,"Yes"
"123","Namibia",36,51,282,"NAM","Sub-Saharan Africa","UMIC",2494530,10513.89073,"Yes"
"124","Nepal",36,90,243,"NPL","South Asia","LMIC",28608710,141682.6784,"Yes"
"125","Netherlands",142,139,88,"NLD","Europe & Central Asia","HIC",17332850,307066.5993,""
"126","New Caledonia",0,0,369,"NCL","East Asia & Pacific","HIC",287800,706.6291294,""
"127","New Zealand",53,199,117,"NZL","East Asia & Pacific","HIC",4917000,87618.20548,""
"128","Nicaragua",67,120,181,"NIC","Latin America & Caribbean","LMIC",6545502,29015.38158,"Yes"
"129","Niger",46,28,295,"NER","Sub-Saharan Africa","LIC",23310715,19326.91169,"Yes"
"130","Nigeria",53,75,241,"NGA","Sub-Saharan Africa","LMIC",200963599,491794.3383,"Yes"
"131","North Macedonia",107,102,160,"MKD","Europe & Central Asia","UMIC",2083459,16869.53384,"Yes"
"132","Norway",89,163,117,"NOR","Europe & Central Asia","HIC",5347896,150201.6312,""
"133","Oman",70,108,191,"OMN","Middle East & North Africa","HIC",4974986,43663.74991,""
"134","Pakistan",94,160,115,"PAK","South Asia","LMIC",216565318,569252.3024,"Yes"
"135","Palau",0,0,368,"PLW","East Asia & Pacific","HIC",18008,139.055937,"Yes"
"136","Palestinian Territories",100,110,159,"PSE","Middle East & North Africa","LMIC",4685306,6069.15166,"Yes"
"137","Panama",51,134,184,"PAN","Latin America & Caribbean","HIC",4246439,17092.29495,""
"138","Papua New Guinea",46,43,280,"PNG","East Asia & Pacific","LMIC",8776109,10821.3939,"Yes"
"139","Paraguay",116,195,58,"PRY","Latin America & Caribbean","UMIC",7044636,22860.31569,"Yes"
"140","Peru",174,125,70,"PER","Latin America & Caribbean","UMIC",32510453,130045.7869,"Yes"
"141","Philippines",118,121,130,"PHL","East Asia & Pacific","LMIC",108116615,321771.9198,"Yes"
"142","Poland",73,103,193,"POL","Europe & Central Asia","HIC",37970874,391860.9235,""
"143","Portugal",30,108,231,"PRT","Europe & Central Asia","HIC",10269417,122675.1377,""
"144","Qatar",55,223,91,"QAT","Middle East & North Africa","HIC",2832067,25981.69837,""
"145","Romania",92,119,158,"ROU","Europe & Central Asia","HIC",19356544,227473.8408,"Yes"
"146","Russia",168,152,49,"RUS","Europe & Central Asia","UMIC",144373535,2013159.593,"Yes"
"147","Rwanda",42,15,312,"RWA","Sub-Saharan Africa","LIC",12626950,32414.59349,"Yes"
"148","São Tomé & Príncipe",31,49,289,"STP","Sub-Saharan Africa","LMIC",215056,867.3723997,"Yes"
"149","Samoa",0,0,368,"WSM","East Asia & Pacific","UMIC",197097,679.4320847,"Yes"
"150","San Marino",142,38,189,"SMR","Europe & Central Asia","HIC",33860,591.7727089,""
"151","Saudi Arabia",148,121,100,"SAU","Middle East & North Africa","HIC",34268528,351963.5403,""
"152","Senegal",22,64,283,"SEN","Sub-Saharan Africa","LMIC",16296364,8398.408372,"Yes"
"153","Serbia",77,106,186,"SRB","Europe & Central Asia","UMIC",6944975,97920.16628,"Yes"
"154","Seychelles",12,60,297,"SYC","Sub-Saharan Africa","HIC",97625,756.0351967,"Yes"
"155","Sierra Leone",26,51,292,"SLE","Sub-Saharan Africa","LIC",7813215,12292.04238,"Yes"
"156","Singapore",10,29,330,"SGP","East Asia & Pacific","HIC",5703569,65342.62935,""
"157","Slovakia",127,68,174,"SVK","Europe & Central Asia","HIC",5454073,74154.77865,""
"158","Slovenia",116,101,152,"SVN","Europe & Central Asia","HIC",2087946,31238.52413,""
"159","Somalia",54,41,274,"SOM","Sub-Saharan Africa","LIC",15442905,7895.01546,"Yes"
"160","South Africa",81,58,230,"ZAF","Sub-Saharan Africa","UMIC",58558270,348777.6171,"Yes"
"161","South Korea",51,205,113,"KOR","East Asia & Pacific","HIC",51709098,507914.0504,""
"162","South Sudan",34,16,319,"SSD","Sub-Saharan Africa","LIC",11062113,4528.464026,"Yes"
"163","Spain",73,159,137,"ESP","Europe & Central Asia","HIC",47076781,610781.975,""
"164","Sri Lanka",76,77,216,"LKA","South Asia","LMIC",21803000,86708.67211,"Yes"
"165","St. Kitts & Nevis",11,16,342,"KNA","Latin America & Caribbean","HIC",52834,426.2061355,"Yes"
"166","St. Lucia",29,16,324,"LCA","Latin America & Caribbean","UMIC",182790,670.6852,"Yes"
"167","St. Vincent & Grenadines",25,26,318,"VCT","Latin America & Caribbean","UMIC",110589,471.1530423,"Yes"
"168","Sudan",63,79,227,"SDN","Sub-Saharan Africa","LIC",42813238,82133.09497,"Yes"
"169","Suriname",56,121,191,"SUR","Latin America & Caribbean","UMIC",581363,3540.457168,"Yes"
"170","Sweden",152,62,155,"SWE","Europe & Central Asia","HIC",10285453,211563.7992,""
"171","Switzerland",46,101,222,"CHE","Europe & Central Asia","HIC",8574832,202063.1461,""
"172","Syria",110,211,47,"SYR","Middle East & North Africa","LIC",17070135,80674.75046,"Yes"
"173","Taiwan",20,17,332,"TWN","East Asia & Pacific","HIC",NA,NA,""
"174","Tajikistan",40,154,175,"TJK","Europe & Central Asia","LIC",9321018,73855.52242,"Yes"
"175","Tanzania",7,0,362,"TZA","Sub-Saharan Africa","LMIC",58005463,58938.1023,"Yes"
"176","Thailand",20,32,317,"THA","East Asia & Pacific","UMIC",69625582,364904.97,"Yes"
"177","Timor-Leste",35,72,261,"TLS","East Asia & Pacific","LMIC",1293119,4108.714964,"Yes"
"178","Togo",36,87,246,"TGO","Sub-Saharan Africa","LIC",8082366,9847.967106,"Yes"
"179","Trinidad & Tobago",47,67,255,"TTO","Latin America & Caribbean","HIC",1394973,10767.7298,"Yes"
"180","Tunisia",24,106,239,"TUN","Middle East & North Africa","LMIC",11694719,60880.80937,"Yes"
"181","Turkey",7,48,314,"TUR","Europe & Central Asia","UMIC",83429615,470454.5168,"Yes"
"182","Uganda",32,67,270,"UGA","Sub-Saharan Africa","LIC",44269594,68357.15869,"Yes"
"183","Ukraine",110,136,123,"UKR","Europe & Central Asia","LMIC",44385155,504153.9539,"Yes"
"184","United Arab Emirates",146,182,41,"ARE","Middle East & North Africa","HIC",9770529,120905.7312,""
"185","United Kingdom",56,123,190,"GBR","Europe & Central Asia","HIC",66834405,1028834.136,""
"186","United States",87,143,139,"USA","North America","HIC",328239523,5112142.34,""
"187","Uruguay",89,42,238,"URY","Latin America & Caribbean","HIC",3461734,37400.09034,""
"188","Uzbekistan",88,158,123,"UZB","Europe & Central Asia","LMIC",33580650,518385.4311,"Yes"
"189","Vanuatu",0,0,368,"VUT","East Asia & Pacific","LMIC",299882,847.9661495,"Yes"
"190","Vatican City",10,0,358,"","Europe & Central Asia","HIC",803,NA,""
"191","Venezuela",202,161,6,"VEN","Latin America & Caribbean","UMIC",28515829,110734.1125,"Yes"
"192","Vietnam",17,7,345,"VNM","East Asia & Pacific","LMIC",96462106,261104.1097,"Yes"
"193","Western Sahara",0,0,369,NA,NA,NA,NA,NA,NA
"194","Yemen",36,26,306,"YEM","Middle East & North Africa","LIC",29161922,41715.18584,"Yes"
"195","Zambia",39,78,252,"ZMB","Sub-Saharan Africa","LMIC",17861030,28955.28092,"Yes"
"196","Zimbabwe",32,33,304,"ZWE","Sub-Saharan Africa","LMIC",14645468,34994.33507,"Yes"
